All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
40,A11/ GPIO214,A11_GPIO214,myANALOGPinMux0,GPIO214,CANA_RX,EMIF1_CLK,MCANA_RX,GPIO214,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO214,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO214,EPWM16_A,ESC_SYNC1,SPID_PICO
41,VDDIO,VDDIO,VDDIO
42,GPIO34,GPIO34,OC_D,GPIO34,OUTPUTXBAR1,EMIF1_CS2n,SPIA_CLK,GPIO34,EQEP4_STROBE,I2CB_SDA,CLB_OUTPUTXBAR3,GPIO34,EMIF1_BA1,ESC_LATCH0,EPWM18_A,GPIO34,SCIA_TX,ESC_SYNC0,
43,GPIO35,GPIO35,OC_C,GPIO35,SCIA_RX,EMIF1_CS3n,SPIA_PTE,GPIO35,EQEP4_INDEX,I2CB_SCL,CLB_OUTPUTXBAR4,GPIO35,EMIF1_A0,ESC_LATCH1,EPWM18_B,GPIO35,SCIA_RX,ESC_SYNC1,
44,VDD3VFL,VDD3VFL,VDD3VFL
45,VDD,VDD,VDD
46,GPIO222/TDI,,,GPIO222,TDI,EPWM7_A,SPIA_PICO,GPIO222,OUTPUTXBAR4,SCIA_RX,UARTB_TX,GPIO222,I2CA_SDA,SPIC_CLK,,GPIO222,,ESC_PDI_UC_IRQ,PMBUSA_SDA
47,GPIO223/TDO,,,GPIO223,TDO,EPWM7_B,EMIF1_A11,GPIO223,OUTPUTXBAR5,SCIA_TX,UARTB_RX,GPIO223,I2CA_SCL,SPIC_PTE,,GPIO223,,,PMBUSA_SCL
48,GPIO30,GPIO30,IGBT_DRIVE,GPIO30,CANA_RX,EMIF1_CLK,MCANA_RX,GPIO30,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO30,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO30,EPWM16_A,ESC_SYNC1,SPID_PICO
49,TMS,TMS,TMS
50,TCK,TCK,TCK
51,GPIO41,GPIO41,OC_B,GPIO41,,EMIF1_A3,EPWM13_B,GPIO41,MCANB_TX,I2CB_SCL,SD4_D3,GPIO41,,CLB_OUTPUTXBAR2,,GPIO41,SD2_D1,ESC_I2C_SCL,FSIRXD_CLK
52,GPIO58,GPIO58,OC_A,GPIO58,SPIA_PICO,EMIF1_D26,EPWM8_A,GPIO58,OUTPUTXBAR1,SPIB_CLK,SD2_D2,GPIO58,EMIF1_D3,ESC_LED_LINK0_ACTIVE,CANA_RX,GPIO58,SD2_C2,FSIRXB_D0,SPIA_PICO
53,GPIO59,EPWM5_A,PWM2,GPIO59,EPWM5_A,EMIF1_D25,EPWM8_B,GPIO59,OUTPUTXBAR2,SPIB_PTE,SD2_C2,GPIO59,EMIF1_D4,ESC_LED_LINK1_ACTIVE,CANA_TX,GPIO59,SD2_C3,FSIRXB_D1,SPIA_POCI
54,GPIO60,EPWM3_B,PWM3,GPIO60,EPWM3_B,EMIF1_D24,ESC_LATCH0,GPIO60,OUTPUTXBAR3,SPIB_PICO,SD2_D3,GPIO60,EMIF1_D5,ESC_LED_ERR,,GPIO60,SD2_C4,FSIRXB_CLK,SPIA_CLK
55,VDDIO,VDDIO,VDDIO
